vertex,position_changed,normal_changed,source_x,source_y,source_z,result_x,result_y,result_z,displacement_source_units,normal_angle_degrees,head_jaw_weight,upper_jaw_weight,lower_jaw_weight
26,True,True,-16.040830612182617,53.97515106201172,-24.135391235351562,-16.33687973022461,64.59346771240234,-24.171802520751953,10.622505323602372,15.72439261806859,1.0,1.0,0.0
27,True,True,-15.92052173614502,52.897186279296875,-24.149229049682617,-16.203393936157227,64.37439727783203,-24.182872772216797,11.480745658993673,10.177191731520532,1.0,1.0,0.0
28,True,True,-15.93333625793457,52.794334411621094,-24.120325088500977,-16.2197265625,64.35418701171875,-24.15974998474121,11.563466861844555,5.192862786517415,1.0,1.0,0.0
29,True,True,-7.307063579559326,74.31806182861328,-27.22658348083496,-8.930717468261719,74.71112823486328,-27.226579666137695,1.6705547432021626,3.5656542788187853,1.0,0.0,0.0
30,True,True,-5.632782459259033,72.81494903564453,-27.60988998413086,-6.038466930389404,72.96619415283203,-27.609872817993164,0.43296070939990133,0.2759780878620491,0.9,0.0,0.0
31,True,True,-7.910376071929932,72.21038818359375,-27.19247817993164,-9.065559387207031,72.61402130126953,-27.19297981262207,1.2236700687745117,3.5025496413671533,1.0,0.0,0.0
32,True,True,-3.651472330093384,73.69153594970703,-26.58447265625,-3.926502227783203,73.72502136230469,-26.58447265625,0.27706085519269547,10.439132409534452,0.9,0.0,0.0
33,True,True,-4.754193305969238,74.8506088256836,-26.459545135498047,-6.440375804901123,74.93608856201172,-26.459545135498047,1.6883477737204802,11.266305897358894,1.0,0.0,0.0
34,True,True,-15.310286521911621,63.796714782714844,-24.903423309326172,-16.99793243408203,66.87830352783203,-24.86833953857422,3.5136261596630614,3.888509292758075,1.0,1.0,0.0
35,True,True,-16.201040267944336,62.42127990722656,-24.642152786254883,-17.73411750793457,66.4625015258789,-24.61443519592285,4.322333427635235,8.317281492015198,1.0,1.0,0.0
36,True,True,-15.862295150756836,66.09889221191406,-24.76981544494629,-17.67188835144043,67.73714447021484,-24.755008697509766,2.441048392301462,7.551152202148097,1.0,1.0,0.0
37,True,True,-15.155827522277832,66.01502990722656,-25.004587173461914,-16.998123168945312,67.69964599609375,-24.981740951538086,2.4964988616973818,1.3563621740886576,1.0,1.0,0.0
38,True,True,-6.392579555511475,76.13846588134766,-24.554336547851562,-9.140000343322754,76.13846588134766,-24.554336547851562,2.7474207878112793,3.7294505079749425,1.0,0.0,0.0
39,True,True,-6.535193920135498,75.5815658569336,-25.67238998413086,-9.323935508728027,75.73190307617188,-25.67238998413086,2.7927908850169723,6.8512357345914,1.0,0.0,0.0
40,True,True,-8.00482177734375,75.56978607177734,-25.713232040405273,-10.761719703674316,75.8735580444336,-25.713232040405273,2.773583167596971,8.027219077489693,1.0,0.0,0.0
41,True,True,-9.923932075500488,75.86096954345703,-24.551494598388672,-12.24492359161377,75.74009704589844,-24.551494598388672,2.3241367813740825,3.8672626939576777,1.0,0.0,0.0
42,True,True,-11.014749526977539,75.0387191772461,-24.900508880615234,-12.781129837036133,75.58389282226562,-24.900508880615234,1.8485977666833247,16.12126223995837,1.0,0.0,0.0
43,True,True,-12.231711387634277,75.05858612060547,-24.54071044921875,-13.57602596282959,75.2962875366211,-24.54071044921875,1.3651679897574462,4.5968305517267725,1.0,0.0,0.0
44,True,True,-11.472993850708008,72.24390411376953,-26.65264129638672,-13.452293395996094,73.33806610107422,-26.560731887817383,2.2634629406782283,2.591785792809398,1.0,0.0,0.0
45,True,True,-12.736431121826172,72.81220245361328,-26.430524826049805,-14.015941619873047,74.07322692871094,-26.418840408325195,1.7965150617306398,11.846566332118524,1.0,0.0,0.0
46,True,True,-12.573437690734863,74.37327575683594,-25.473220825195312,-13.738404273986816,75.22854614257812,-25.473215103149414,1.445210909471023,10.249082149041003,1.0,0.0,0.0
56,True,True,-9.252470016479492,73.96971893310547,-26.64828109741211,-10.789822578430176,74.7823257446289,-26.648263931274414,1.7389027374080743,3.686519394438325,1.0,0.0,0.0
57,True,True,-10.24733829498291,73.00028991699219,-26.731103897094727,-11.636642456054688,74.19595336914062,-26.68974494934082,1.8334360379719234,2.017357567965097,1.0,0.0,0.0
61,True,True,-9.234234809875488,72.27140045166016,-27.159984588623047,-10.359928131103516,73.03841400146484,-27.175888061523438,1.3622584774893742,3.8398029771728273,1.0,0.0,0.0
70,True,True,-10.418006896972656,62.286277770996094,-26.789743423461914,-10.383428573608398,67.37126922607422,-26.64140510559082,5.087272158555414,17.28116918222388,1.0,0.0,1.0
71,True,True,-9.980758666992188,63.69227600097656,-27.280485153198242,-9.863102912902832,67.65756225585938,-27.102703094482422,3.971013021891786,69.70456938130225,1.0,0.0,1.0
72,True,True,-9.354972839355469,63.959938049316406,-27.613731384277344,-10.167305946350098,67.31910705566406,-27.17487144470215,3.4837479151755786,59.98489549412793,1.0,0.0,0.0
73,True,True,-9.540804862976074,62.55000305175781,-27.646926879882812,-9.710925102233887,66.32451629638672,-27.24671173095703,3.799481977206084,15.747089208061846,0.75,0.0,0.25
74,True,True,-9.880743026733398,62.11219024658203,-27.44879722595215,-9.72581958770752,65.81043243408203,-27.12095832824707,3.7159756312727446,10.684511929660262,0.75,0.0,0.25
75,True,True,-10.195728302001953,61.991729736328125,-27.069133758544922,-10.074975967407227,65.97189331054688,-26.71525001525879,3.997688945829835,21.936875823342792,0.75,0.0,0.25
77,True,True,-8.584914207458496,61.289939880371094,-27.726900100708008,-8.797615051269531,63.31630325317383,-27.379724502563477,2.066862613610642,15.957346398056012,0.49586776,0.0,0.0
